17.7713 	EXP 	window1: blendMode = 'avg'
17.7840 	EXP 	window1: blendMode = 'avg'
17.8069 	EXP 	window1: blendMode = 'avg'
17.8173 	EXP 	window1: blendMode = 'avg'
17.8390 	EXP 	window1: blendMode = 'avg'
17.8504 	EXP 	window1: blendMode = 'avg'
17.8713 	EXP 	window1: blendMode = 'avg'
17.8838 	EXP 	window1: blendMode = 'avg'
17.9102 	EXP 	window1: blendMode = 'avg'
17.9174 	EXP 	window1: blendMode = 'avg'
17.9462 	EXP 	window1: blendMode = 'avg'
17.9793 	EXP 	window1: blendMode = 'avg'
18.0069 	EXP 	window1: blendMode = 'avg'
18.0179 	EXP 	window1: blendMode = 'avg'
18.0425 	EXP 	window1: blendMode = 'avg'
18.0506 	EXP 	window1: blendMode = 'avg'
18.0764 	EXP 	window1: blendMode = 'avg'
18.0845 	EXP 	window1: blendMode = 'avg'
18.1097 	EXP 	window1: blendMode = 'avg'
18.1176 	EXP 	window1: blendMode = 'avg'
18.1336 	EXP 	window1: blendMode = 'avg'
18.1498 	EXP 	window1: blendMode = 'avg'
18.1678 	EXP 	window1: blendMode = 'avg'
18.1840 	EXP 	window1: blendMode = 'avg'
18.1998 	EXP 	window1: blendMode = 'avg'
18.2172 	EXP 	window1: blendMode = 'avg'
18.2342 	EXP 	window1: blendMode = 'avg'
18.2505 	EXP 	window1: blendMode = 'avg'
18.2676 	EXP 	window1: blendMode = 'avg'
18.2853 	EXP 	window1: blendMode = 'avg'
18.3003 	EXP 	window1: blendMode = 'avg'
18.3182 	EXP 	window1: blendMode = 'avg'
18.3339 	EXP 	window1: blendMode = 'avg'
18.3519 	EXP 	window1: blendMode = 'avg'
18.3672 	EXP 	window1: blendMode = 'avg'
18.3836 	EXP 	window1: blendMode = 'avg'
18.4001 	EXP 	window1: blendMode = 'avg'
18.4174 	EXP 	window1: blendMode = 'avg'
18.4335 	EXP 	window1: blendMode = 'avg'
18.4511 	EXP 	window1: blendMode = 'avg'
18.4676 	EXP 	window1: blendMode = 'avg'
18.4843 	EXP 	window1: blendMode = 'avg'
18.5001 	EXP 	window1: blendMode = 'avg'
18.5181 	EXP 	window1: blendMode = 'avg'
18.5340 	EXP 	window1: blendMode = 'avg'
18.5506 	EXP 	window1: blendMode = 'avg'
18.5670 	EXP 	window1: blendMode = 'avg'
18.5838 	EXP 	window1: blendMode = 'avg'
18.6252 	EXP 	window1: blendMode = 'avg'
18.6340 	EXP 	window1: blendMode = 'avg'
18.6521 	EXP 	window1: blendMode = 'avg'
18.6667 	EXP 	window1: blendMode = 'avg'
18.6869 	EXP 	window1: blendMode = 'avg'
18.7003 	EXP 	window1: blendMode = 'avg'
18.7181 	EXP 	window1: blendMode = 'avg'
18.7341 	EXP 	window1: blendMode = 'avg'
18.7532 	EXP 	window1: blendMode = 'avg'
18.7667 	EXP 	window1: blendMode = 'avg'
18.7875 	EXP 	window1: blendMode = 'avg'
18.8003 	EXP 	window1: blendMode = 'avg'
18.8225 	EXP 	window1: blendMode = 'avg'
18.8336 	EXP 	window1: blendMode = 'avg'
18.8568 	EXP 	window1: blendMode = 'avg'
18.8671 	EXP 	window1: blendMode = 'avg'
18.8902 	EXP 	window1: blendMode = 'avg'
18.9006 	EXP 	window1: blendMode = 'avg'
18.9229 	EXP 	window1: blendMode = 'avg'
18.9337 	EXP 	window1: blendMode = 'avg'
18.9565 	EXP 	window1: blendMode = 'avg'
18.9672 	EXP 	window1: blendMode = 'avg'
18.9921 	EXP 	window1: blendMode = 'avg'
18.9999 	EXP 	window1: blendMode = 'avg'
19.0246 	EXP 	window1: blendMode = 'avg'
19.0335 	EXP 	window1: blendMode = 'avg'
19.0585 	EXP 	window1: blendMode = 'avg'
19.0667 	EXP 	window1: blendMode = 'avg'
19.0916 	EXP 	window1: blendMode = 'avg'
19.1006 	EXP 	window1: blendMode = 'avg'
19.1182 	EXP 	window1: blendMode = 'avg'
19.1340 	EXP 	window1: blendMode = 'avg'
19.1503 	EXP 	window1: blendMode = 'avg'
19.1671 	EXP 	window1: blendMode = 'avg'
19.1842 	EXP 	window1: blendMode = 'avg'
19.1999 	EXP 	window1: blendMode = 'avg'
19.2170 	EXP 	window1: blendMode = 'avg'
19.2335 	EXP 	window1: blendMode = 'avg'
19.2511 	EXP 	window1: blendMode = 'avg'
19.2670 	EXP 	window1: blendMode = 'avg'
19.2844 	EXP 	window1: blendMode = 'avg'
19.3007 	EXP 	window1: blendMode = 'avg'
19.3174 	EXP 	window1: blendMode = 'avg'
19.3340 	EXP 	window1: blendMode = 'avg'
19.3503 	EXP 	window1: blendMode = 'avg'
19.3676 	EXP 	window1: blendMode = 'avg'
19.3842 	EXP 	window1: blendMode = 'avg'
19.4000 	EXP 	window1: blendMode = 'avg'
19.4171 	EXP 	window1: blendMode = 'avg'
19.4344 	EXP 	window1: blendMode = 'avg'
19.4509 	EXP 	window1: blendMode = 'avg'
19.4675 	EXP 	window1: blendMode = 'avg'
19.4842 	EXP 	window1: blendMode = 'avg'
19.5002 	EXP 	window1: blendMode = 'avg'
19.5174 	EXP 	window1: blendMode = 'avg'
19.5345 	EXP 	window1: blendMode = 'avg'
19.5513 	EXP 	window1: blendMode = 'avg'
19.5683 	EXP 	window1: blendMode = 'avg'
19.5843 	EXP 	window1: blendMode = 'avg'
19.6027 	EXP 	window1: blendMode = 'avg'
19.6172 	EXP 	window1: blendMode = 'avg'
19.6401 	EXP 	window1: blendMode = 'avg'
19.6511 	EXP 	window1: blendMode = 'avg'
19.6730 	EXP 	window1: blendMode = 'avg'
19.6847 	EXP 	window1: blendMode = 'avg'
19.7010 	EXP 	window1: blendMode = 'avg'
19.7174 	EXP 	window1: blendMode = 'avg'
19.7358 	EXP 	window1: blendMode = 'avg'
19.7501 	EXP 	window1: blendMode = 'avg'
19.7687 	EXP 	window1: blendMode = 'avg'
19.7848 	EXP 	window1: blendMode = 'avg'
19.8042 	EXP 	window1: blendMode = 'avg'
19.8176 	EXP 	window1: blendMode = 'avg'
19.8367 	EXP 	window1: blendMode = 'avg'
19.8510 	EXP 	window1: blendMode = 'avg'
19.8725 	EXP 	window1: blendMode = 'avg'
19.8847 	EXP 	window1: blendMode = 'avg'
19.9112 	EXP 	window1: blendMode = 'avg'
19.9185 	EXP 	window1: blendMode = 'avg'
19.9394 	EXP 	window1: blendMode = 'avg'
19.9508 	EXP 	window1: blendMode = 'avg'
19.9740 	EXP 	window1: blendMode = 'avg'
19.9842 	EXP 	window1: blendMode = 'avg'
20.0045 	EXP 	window1: blendMode = 'avg'
20.0179 	EXP 	window1: blendMode = 'avg'
20.0407 	EXP 	window1: blendMode = 'avg'
20.0510 	EXP 	window1: blendMode = 'avg'
20.0755 	EXP 	window1: blendMode = 'avg'
20.0850 	EXP 	window1: blendMode = 'avg'
20.1077 	EXP 	window1: blendMode = 'avg'
20.1182 	EXP 	window1: blendMode = 'avg'
20.1415 	EXP 	window1: blendMode = 'avg'
20.1509 	EXP 	window1: blendMode = 'avg'
20.1772 	EXP 	window1: blendMode = 'avg'
20.1851 	EXP 	window1: blendMode = 'avg'
20.2009 	EXP 	window1: blendMode = 'avg'
20.2186 	EXP 	window1: blendMode = 'avg'
20.2338 	EXP 	window1: blendMode = 'avg'
20.2512 	EXP 	window1: blendMode = 'avg'
20.2667 	EXP 	window1: blendMode = 'avg'
20.2850 	EXP 	window1: blendMode = 'avg'
20.3001 	EXP 	window1: blendMode = 'avg'
20.3179 	EXP 	window1: blendMode = 'avg'
20.3342 	EXP 	window1: blendMode = 'avg'
20.3524 	EXP 	window1: blendMode = 'avg'
20.3684 	EXP 	window1: blendMode = 'avg'
20.3840 	EXP 	window1: blendMode = 'avg'
20.4010 	EXP 	window1: blendMode = 'avg'
20.4181 	EXP 	window1: blendMode = 'avg'
20.4340 	EXP 	window1: blendMode = 'avg'
20.4511 	EXP 	window1: blendMode = 'avg'
20.4679 	EXP 	window1: blendMode = 'avg'
20.4843 	EXP 	window1: blendMode = 'avg'
20.5006 	EXP 	window1: blendMode = 'avg'
20.5175 	EXP 	window1: blendMode = 'avg'
20.5343 	EXP 	window1: blendMode = 'avg'
20.5515 	EXP 	window1: blendMode = 'avg'
20.5676 	EXP 	window1: blendMode = 'avg'
20.5860 	EXP 	window1: blendMode = 'avg'
20.6006 	EXP 	window1: blendMode = 'avg'
20.6187 	EXP 	window1: blendMode = 'avg'
20.6346 	EXP 	window1: blendMode = 'avg'
20.6533 	EXP 	window1: blendMode = 'avg'
20.6677 	EXP 	window1: blendMode = 'avg'
20.6876 	EXP 	window1: blendMode = 'avg'
20.7008 	EXP 	window1: blendMode = 'avg'
20.7191 	EXP 	window1: blendMode = 'avg'
20.7342 	EXP 	window1: blendMode = 'avg'
20.7555 	EXP 	window1: blendMode = 'avg'
20.7677 	EXP 	window1: blendMode = 'avg'
20.7891 	EXP 	window1: blendMode = 'avg'
20.8009 	EXP 	window1: blendMode = 'avg'
20.8241 	EXP 	window1: blendMode = 'avg'
20.8339 	EXP 	window1: blendMode = 'avg'
20.8569 	EXP 	window1: blendMode = 'avg'
20.8669 	EXP 	window1: blendMode = 'avg'
